category,file_path,purpose,required,notes
identity output,outputs/identity/unmatched_gate_rows.csv,Unmatched gate row detail,Yes,Current row count is 0.
identity output,outputs/identity/duplicate_name_warnings.csv,Duplicate player-name warning list,Yes,Current row count is 243.
projection output,outputs/google_sheets_receptions_historical_test.csv,Google Sheets-ready historical-test Receptions board,Yes,640 candidate rows.
projection output,outputs/receptions_projection_week_01_all.csv,All eligible projection rows,Yes,641 rows.
projection output,outputs/receptions_projection_week_01_candidates.csv,Candidate projection rows,Yes,640 rows.
feature output,outputs/receptions_feature_table.csv,Leakage-safe model feature table,Yes,40061 rows.
audit output,outputs/history_window_audit.csv,History/leakage window audit,Yes,Leakage status PASS.
market output,outputs/market_edges/receptions_market_probability.csv,Odds-based market probability output,Yes,0 rows until odds are loaded.
market output,outputs/market_edges/receptions_market_edges.csv,Market edge output,Yes,0 rows until odds are loaded.
market output,outputs/market_edges/receptions_market_edge_blockers.csv,Market edge blocker detail,Yes,5 blocker rows.
line ladder output,outputs/market_edges/receptions_line_ladder.csv,Odds-free common-line probability ladder,Yes,6400 rows.
line ladder output,outputs/market_edges/receptions_line_ladder_top_by_line.csv,Top 25 players per common line by over probability,Yes,250 rows.
google sheets pack,outputs/google_sheets/import_manifest.csv,Maps CSVs to Google Sheet tabs and start cells,Yes,10 manifest rows.
google sheets pack,outputs/google_sheets/IMPORT_INSTRUCTIONS.md,Manual import instructions,Yes,Includes optional line ladder tab specs.
google sheets pack,outputs/google_sheets/latest_import_pack.zip,Local import pack zip,Yes,Safe local import bundle; no upload.
run report,outputs/run_reports/latest_receptions_pipeline_report.md,Latest pipeline report,Yes,Shows final readiness NO-GO.
run report,outputs/run_reports/latest_receptions_pipeline_status.csv,Machine-readable latest pipeline status,Yes,Used by validators and summaries.
run report,outputs/run_reports/latest_receptions_pipeline_errors.csv,Pipeline errors file,Yes,Contains NONE row when clean.
run report,outputs/run_reports/latest_receptions_safety_validation.md,Safety validation report,Yes,Current status PASS.
run report,outputs/run_reports/latest_forward_projection_dry_run.md,Forward dry-run report,Yes,Current status PASS.
run report,outputs/run_reports/latest_line_ladder_report.md,Line ladder report,Yes,Current status PASS.
stable snapshot,outputs/run_reports/STABLE_RECEPTIONS_V1_HISTORICAL_TEST_SNAPSHOT.md,Stable milestone summary,Yes,Rollback point before real 2026 data integration.
stable snapshot,outputs/run_reports/STABLE_RECEPTIONS_V1_FILE_INDEX.csv,Stable milestone file index,Yes,Lists important files and their purpose.
stable snapshot,outputs/run_reports/STABLE_RECEPTIONS_V1_NEXT_STEPS.md,Stable milestone next-step plan,Yes,Separates safe now live prerequisites and do-not-do items.
