player_id,player_name,team,opponent,position,overall_signal_score,signal_tier,top_positive_driver_1,top_positive_driver_2,top_positive_driver_3,top_negative_driver_1,top_negative_driver_2,top_negative_driver_3,driver_notes
,J.Mixon,HOU,,RB,75.38,STRONG_SIGNAL,projection strength: 98.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
00-0034855,B.Mayfield,TB,WAS,QB,75.36,STRONG_SIGNAL,recent form: 99.3,projection strength: 96.3,data quality: 79.0,usage foundation: 33.3,role and availability context: 35.0,missing signal count: 3,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; game environment limited
,D.Bell,CLE,,WR,75.35,STRONG_SIGNAL,projection strength: 98.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Jennings,SF,,WR,75.31,STRONG_SIGNAL,projection strength: 98.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Jacobs,GB,,RB,75.28,STRONG_SIGNAL,projection strength: 98.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,M.Evans,TB,,WR,75.21,STRONG_SIGNAL,projection strength: 98.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.Pollard,TEN,,RB,75.2,STRONG_SIGNAL,projection strength: 98.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,N.Collins,HOU,,WR,75.17,STRONG_SIGNAL,projection strength: 97.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,M.Nabers,NYG,,WR,75.14,STRONG_SIGNAL,projection strength: 97.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Gibbs,DET,,RB,75.12,STRONG_SIGNAL,projection strength: 97.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Smith-Njigba,SEA,,WR,75.08,STRONG_SIGNAL,projection strength: 97.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,R.Dowdle,DAL,,RB,75.02,STRONG_SIGNAL,projection strength: 97.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,B.Aiyuk,SF,,WR,75.02,STRONG_SIGNAL,projection strength: 97.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Meyers,LV,,WR,75.01,STRONG_SIGNAL,projection strength: 97.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Addison,MIN,,WR,74.95,STRONG_SIGNAL,projection strength: 97.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,S.Diggs,HOU,,WR,74.94,STRONG_SIGNAL,projection strength: 97.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.Williams,CHI,GB,QB,74.92,STRONG_SIGNAL,projection strength: 97.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,W.Robinson,NYG,,WR,74.87,STRONG_SIGNAL,projection strength: 97.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,B.Irving,TB,,RB,74.84,STRONG_SIGNAL,projection strength: 97.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,A.Gould,IND,,WR,74.81,STRONG_SIGNAL,projection strength: 97.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.Godwin,TB,,WR,74.8,STRONG_SIGNAL,projection strength: 97.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.Hubbard,CAR,,RB,74.79,STRONG_SIGNAL,projection strength: 97.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,B.Mayfield,TB,WAS,QB,74.77,STRONG_SIGNAL,projection strength: 97.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,R.Pearsall,SF,,WR,74.74,STRONG_SIGNAL,projection strength: 96.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.Brown,WAS,,WR,74.73,STRONG_SIGNAL,projection strength: 96.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.Swift,CHI,,RB,74.66,STRONG_SIGNAL,projection strength: 96.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,K.Allen,CHI,,WR,74.66,STRONG_SIGNAL,projection strength: 96.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Conner,ARI,,RB,74.63,STRONG_SIGNAL,projection strength: 96.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Cowing,SF,,WR,74.59,STRONG_SIGNAL,projection strength: 96.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.McBride,ARI,,TE,74.59,STRONG_SIGNAL,projection strength: 96.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,B.Johnson,PIT,,WR,74.53,STRONG_SIGNAL,projection strength: 96.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,A.Pierce,IND,,WR,74.52,STRONG_SIGNAL,projection strength: 96.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,R.Shaheed,NO,,WR,74.38,STRONG_SIGNAL,projection strength: 96.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,A.Thielen,CAR,,WR,74.32,STRONG_SIGNAL,projection strength: 95.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Cook,BUF,,RB,74.31,STRONG_SIGNAL,projection strength: 95.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,A.Kamara,NO,,RB,74.31,STRONG_SIGNAL,projection strength: 95.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,G.Wilson,NYJ,,WR,74.25,STRONG_SIGNAL,projection strength: 95.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.Hill,MIA,,WR,74.18,STRONG_SIGNAL,projection strength: 95.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Nailor,MIN,,WR,74.16,STRONG_SIGNAL,projection strength: 95.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,A.Jones,MIN,,RB,74.14,STRONG_SIGNAL,projection strength: 95.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.Etienne,JAX,,RB,74.13,STRONG_SIGNAL,projection strength: 95.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.London,ATL,,WR,74.12,STRONG_SIGNAL,projection strength: 95.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.Lamb,DAL,,WR,74.05,STRONG_SIGNAL,projection strength: 95.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.Martin,TEN,,WR,74.02,STRONG_SIGNAL,projection strength: 95.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Downs,IND,,WR,73.98,STRONG_SIGNAL,projection strength: 95.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
00-0033106,J.Goff,DET,WAS,QB,73.96,STRONG_SIGNAL,recent form: 99.6,projection strength: 92.6,data quality: 79.0,usage foundation: 33.3,role and availability context: 35.0,missing signal count: 3,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; game environment limited
,J.Palmer,LAC,,WR,73.95,STRONG_SIGNAL,projection strength: 95.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.Samuel,SF,,WR,73.88,STRONG_SIGNAL,projection strength: 94.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,M.Washington,MIA,,WR,73.84,STRONG_SIGNAL,projection strength: 94.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Dobbins,LAC,,RB,73.82,STRONG_SIGNAL,projection strength: 94.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,R.Rice,KC,,WR,73.78,STRONG_SIGNAL,projection strength: 94.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,K.Walker,SEA,,RB,73.77,STRONG_SIGNAL,projection strength: 94.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Goff,DET,WAS,QB,73.73,STRONG_SIGNAL,projection strength: 94.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,N.Brown,WAS,,WR,73.73,STRONG_SIGNAL,projection strength: 94.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,M.Pittman,IND,,WR,73.71,STRONG_SIGNAL,projection strength: 94.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,G.Pickens,PIT,,WR,73.66,STRONG_SIGNAL,projection strength: 94.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.Njoku,CLE,,TE,73.64,STRONG_SIGNAL,projection strength: 94.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.Allgeier,ATL,,RB,73.59,STRONG_SIGNAL,projection strength: 94.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,M.Harrison,ARI,,WR,73.59,STRONG_SIGNAL,projection strength: 94.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Smith,MIA,,TE,73.57,STRONG_SIGNAL,projection strength: 94.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,K.Pryor,CIN,,WR,73.5,STRONG_SIGNAL,projection strength: 94.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.McCaffrey,SF,,RB,73.49,STRONG_SIGNAL,projection strength: 94.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Daniels,WAS,PHI,QB,73.45,STRONG_SIGNAL,projection strength: 93.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,K.Shakir,BUF,,WR,73.43,STRONG_SIGNAL,projection strength: 93.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,R.White,TB,,RB,73.41,STRONG_SIGNAL,projection strength: 93.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,M.Valdes-Scantling,NO,,WR,73.37,STRONG_SIGNAL,projection strength: 93.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,N.Harris,PIT,,RB,73.33,STRONG_SIGNAL,projection strength: 93.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.White,SEA,,WR,73.3,STRONG_SIGNAL,projection strength: 93.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.Tillman,CLE,,WR,73.3,STRONG_SIGNAL,projection strength: 93.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Coker,CAR,,WR,73.23,STRONG_SIGNAL,projection strength: 93.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,G.Kittle,SF,,TE,73.16,STRONG_SIGNAL,projection strength: 93.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,B.Bowers,LV,,TE,73.09,STRONG_SIGNAL,projection strength: 93.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,T.Bigsby,JAX,,RB,73.05,STRONG_SIGNAL,projection strength: 93.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.Olave,NO,,WR,73.02,STRONG_SIGNAL,projection strength: 93.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.Brown,CIN,,RB,72.87,STRONG_SIGNAL,projection strength: 92.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,D.Montgomery,DET,,RB,72.84,STRONG_SIGNAL,projection strength: 92.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,M.Gesicki,CIN,,TE,72.82,STRONG_SIGNAL,projection strength: 92.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,C.Sutton,DEN,,WR,72.8,STRONG_SIGNAL,projection strength: 92.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,Q.Johnston,LAC,,WR,72.68,STRONG_SIGNAL,projection strength: 92.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,B.Hall,NYJ,,RB,72.67,STRONG_SIGNAL,projection strength: 92.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,E.Engram,JAX,,TE,72.61,STRONG_SIGNAL,projection strength: 92.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,J.Waddle,MIA,,WR,72.51,STRONG_SIGNAL,projection strength: 91.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
,P.Freiermuth,PIT,,TE,72.48,STRONG_SIGNAL,projection strength: 91.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,blocked context: nan,Research-only driver summary. Limitations: weather not sourced; live role/injury gates not ready; defense fit limited; game environment limited
