player_id,player_name,team,opponent,position,primary_market_family,all_families_count,best_signal_score,overall_signal_score,signal_tier,recommended_user_action,signal_explanation,top_signal_reason,review_reason,blocked_reason,top_positive_driver_1,top_positive_driver_2,top_positive_driver_3,top_negative_driver_1,top_negative_driver_2,top_negative_driver_3,green_signal_count,yellow_signal_count,red_flag_count,missing_signal_count,data_quality_score,readiness_status,roster_status,role_status,injury_status,usage_status,final_readiness
,B.Robinson,ATL,,RB,receiving,2,75.74,75.74,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.2; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,L.McConkey,LAC,,WR,receiving,1,75.74,75.74,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.2; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,A.St. Brown,DET,,WR,receiving,1,75.69,75.69,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.7. Main support: projection strength: 99.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 99.1; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 99.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,D.Moore,CHI,,WR,receiving,1,75.62,75.62,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.6. Main support: projection strength: 98.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.9; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,K.Williams,LA,,RB,receiving,2,75.61,75.61,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.6. Main support: projection strength: 98.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.9; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,T.Shavers,BUF,,WR,receiving,1,75.6,75.6,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.6. Main support: projection strength: 98.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.8; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,D.Adams,NYJ,,WR,receiving,1,75.48,75.48,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.5. Main support: projection strength: 98.6; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.6; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.6,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,T.McLaurin,WAS,,WR,receiving,1,75.42,75.42,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.4. Main support: projection strength: 98.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.4; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,Ja.Williams,DET,,WR,receiving,1,75.38,75.38,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.4. Main support: projection strength: 98.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.4; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Mixon,HOU,,RB,receiving,2,75.38,75.38,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.4. Main support: projection strength: 98.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.4; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
00-0034855,B.Mayfield,TB,WAS,QB,passing,1,75.36,75.36,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.4. Main support: recent form: 99.3; projection strength: 96.3. Main caution: usage foundation: 33.3; role and availability context: 35.0.,recent form: 99.3; projection strength: 96.3,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,recent form: 99.3,projection strength: 96.3,data quality: 79.0,usage foundation: 33.3,role and availability context: 35.0,missing signal count: 3,3,0,0,3,79.0,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,D.Bell,CLE,,WR,receiving,1,75.35,75.35,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.3. Main support: projection strength: 98.3; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.3; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Jennings,SF,,WR,receiving,1,75.31,75.31,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.3. Main support: projection strength: 98.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.2; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Jacobs,GB,,RB,receiving,2,75.28,75.28,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.3. Main support: projection strength: 98.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.1; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,M.Evans,TB,,WR,receiving,1,75.21,75.21,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.2. Main support: projection strength: 98.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.0; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,T.Pollard,TEN,,RB,receiving,2,75.2,75.2,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.2. Main support: projection strength: 98.0; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 98.0; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 98.0,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,N.Collins,HOU,,WR,receiving,1,75.17,75.17,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.2. Main support: projection strength: 97.9; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.9; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.9,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,M.Nabers,NYG,,WR,receiving,1,75.14,75.14,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.1. Main support: projection strength: 97.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.8; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Gibbs,DET,,RB,receiving,2,75.12,75.12,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.1. Main support: projection strength: 97.8; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.8; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.8,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Smith-Njigba,SEA,,WR,receiving,1,75.08,75.08,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.1. Main support: projection strength: 97.7; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.7; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.7,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,R.Dowdle,DAL,,RB,receiving,2,75.02,75.02,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.0. Main support: projection strength: 97.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.5; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,B.Aiyuk,SF,,WR,receiving,1,75.02,75.02,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.0. Main support: projection strength: 97.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.5; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Meyers,LV,,WR,receiving,1,75.01,75.01,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.0. Main support: projection strength: 97.5; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.5; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.5,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,J.Addison,MIN,,WR,receiving,1,74.95,74.95,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 75.0. Main support: projection strength: 97.4; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.4; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.4,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,S.Diggs,HOU,,WR,receiving,1,74.94,74.94,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 74.9. Main support: projection strength: 97.3; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.3; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,C.Williams,CHI,GB,QB,rushing,2,74.92,74.92,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 74.9. Main support: projection strength: 97.3; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.3; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.3,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,W.Robinson,NYG,,WR,receiving,1,74.87,74.87,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 74.9. Main support: projection strength: 97.2; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.2; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.2,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
,B.Irving,TB,,RB,receiving,2,74.84,74.84,STRONG_SIGNAL,STRONG_SIGNAL,STRONG_SIGNAL at 74.8. Main support: projection strength: 97.1; usage foundation: 66.7. Main caution: role and availability context: 35.0; missing signal count: 5.,projection strength: 97.1; usage foundation: 66.7,"Context V1: defense fit missing/low reliability for some players; game environment missing for some players; weather, route share, first-read share, and coverage are not sourced.",,projection strength: 97.1,usage foundation: 66.7,data quality: 65.7,role and availability context: 35.0,missing signal count: 5,review context: Context V1: defense fit missing/low reliability for some players; game environment missing,2,0,0,5,65.7,DATA_NEEDS_LIVE_CONTEXT,NEEDS DATA,NEEDS DATA,NEEDS DATA,HISTORICAL TEST ONLY,NO-GO
